City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,puntarenas,9.9763,-84.8384,29.15,76,90,1.97,CR,1690147461
242,ujae,8.9322,165.7642,28.77,78,92,7.48,MH,1690147461
243,machico,32.7,-16.7667,22.62,84,40,3.6,PT,1690147461
244,richards bay,-28.783,32.0377,17.29,90,47,3.52,ZA,1690147461
245,nagqu,31.5,92.0,4.66,94,100,1.46,CN,1690147462
246,mahanje,-9.9333,35.3333,16.13,85,88,1.32,TZ,1690147462
247,nogliki,51.8333,143.1667,17.65,88,87,4.22,RU,1690147462
248,palikir - national government center,6.9248,158.1611,28.47,94,100,1.54,FM,1690147315
249,jeddah,21.5169,39.2192,35.92,30,0,1.03,SA,1690147462
250,baijiantan,45.6333,85.1833,30.04,25,100,4.94,CN,1690147462
251,pisco,-13.7,-76.2167,23.03,60,0,4.12,PE,1690147368
252,enewetak,11.3474,162.3373,28.56,78,67,8.87,MH,1690147276
253,nar'yan-mar,67.6713,53.087,15.29,93,100,3.13,RU,1690147463
254,yuto,-23.6434,-64.4719,24.93,33,8,3.75,AR,1690147463
255,saint-joseph,-21.3667,55.6167,20.26,81,35,5.23,RE,1690147443
256,maryborough,-25.5333,152.7,13.76,94,99,3.85,AU,1690147463
257,vermilion,40.1667,-87.7506,31.45,55,0,3.09,US,1690147463
258,karratha,-20.7377,116.8463,15.8,32,1,9.36,AU,1690147373
259,hasaki,35.7333,140.8333,24.61,82,72,2.23,JP,1690147463
260,mount darwin,-16.7725,31.5838,12.54,71,0,0.38,ZW,1690147463
261,new norfolk,-42.7826,147.0587,10.95,87,94,1.93,AU,1690147410
262,oskarshamn,57.2645,16.4484,15.55,95,100,2.16,SE,1690147463
263,nova sintra,14.8667,-24.7167,22.94,78,96,4.73,CV,1690147387
264,ancud,-41.8697,-73.8203,5.41,80,100,4.11,CL,1690147464
265,helong,42.5397,128.9972,19.17,94,2,1.89,CN,1690147464
266,ialibu,-6.2821,143.9935,13.07,100,100,0.52,PG,1690147464
267,galveston,29.3669,-94.9669,35.06,71,75,4.63,US,1690147464
268,bodo,67.28,14.405,13.76,90,40,1.54,NO,1690147464
269,keuruu,62.2667,24.7,13.78,89,100,1.98,FI,1690147464
270,villerupt,49.4674,5.9329,20.04,74,100,2.24,FR,1690147464
271,namibe,-15.1961,12.1522,17.86,74,83,3.73,AO,1690147464
272,el porvenir,13.7617,-87.3458,31.63,49,94,2.28,HN,1690147464
273,kotido,2.9806,34.1331,22.41,61,89,3.11,UG,1690147465
274,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1690147465
275,nhamunda,-2.1861,-56.7131,32.73,37,61,2.32,BR,1690147465
276,ambon,-3.6954,128.1814,27.91,100,75,2.06,ID,1690147431
277,port macquarie,-31.4333,152.9167,9.94,79,87,4.73,AU,1690147465
278,alice springs,-23.7,133.8833,-0.25,86,0,4.12,AU,1690147179
279,natal,-5.795,-35.2094,26.36,73,75,5.66,BR,1690147165
280,northam,51.0333,-4.2167,15.92,91,98,3.19,GB,1690147465
281,atasu,48.6814,71.6433,25.51,31,47,1.99,KZ,1690147465
282,cromwell,41.5951,-72.6454,31.98,42,0,3.09,US,1690147465
283,zhezqazghan,47.7833,67.7667,26.48,36,0,6.59,KZ,1690147466
284,constitucion,-35.3333,-72.4167,12.07,70,100,3.08,CL,1690147466
285,pamanukan,-6.2842,107.8106,23.52,88,59,1.84,ID,1690147466
286,zaozersk,69.4005,32.4476,8.13,88,100,5.63,RU,1690147466
287,norilsk,69.3535,88.2027,11.35,89,20,0.62,RU,1690147466
288,ban mai,7.2041,100.5451,25.05,85,17,3.72,TH,1690147466
289,utrik,11.2278,169.8474,28.72,77,78,6.26,MH,1690147276
290,fortuna,40.5982,-124.1573,22.74,67,0,8.23,US,1690147440
291,omdurman,15.6445,32.4777,35.73,27,44,6.52,SD,1690147277
292,bouar,5.934,15.596,19.28,94,100,1.03,CF,1690147467
293,aldama,22.9167,-98.0667,36.39,43,38,7.1,MX,1690147467
294,isangel,-19.55,169.2667,21.06,78,100,0.0,VU,1690147367
295,kuta,-8.7233,115.1723,25.0,88,20,4.63,ID,1690147467
296,sittwe,20.15,92.9,27.22,87,99,3.3,MM,1690147467
297,galle,6.0367,80.217,26.46,86,100,5.89,LK,1690147467
298,kingston,17.997,-76.7936,35.69,58,20,12.35,JM,1690147208
299,jasper,37.2001,-94.3502,34.43,46,20,4.63,US,1690147188
300,kapuskasing,49.4169,-82.4331,20.05,77,75,4.63,CA,1690147468
301,palmer,42.1584,-72.3287,30.84,41,20,0.0,US,1690147188
302,kopervik,59.2835,5.3067,16.08,82,75,5.14,NO,1690147468
303,meadow lakes,61.6247,-149.6011,23.19,60,0,4.12,US,1690147468
304,male,4.1748,73.5089,28.97,79,20,5.14,MV,1690147468
305,bochum,51.4833,7.2167,18.62,87,100,2.24,DE,1690147352
306,sharkawshchyna,55.3713,27.4706,14.2,84,100,4.94,BY,1690147468
307,san luis de la loma,17.2706,-100.8939,32.28,56,24,3.2,MX,1690147468
308,muli,2.9167,73.5667,27.82,79,4,3.08,MV,1690147284
309,kochubey,44.3861,46.5825,25.26,62,79,2.21,RU,1690147468
310,tavda,58.0425,65.2726,13.76,97,100,3.57,RU,1690147469
311,khodoriv,49.4066,24.3136,16.62,75,62,2.77,UA,1690147469
312,cururupu,-1.8283,-44.8683,25.85,76,88,2.0,BR,1690147469
313,tostado,-29.232,-61.7692,17.01,42,100,6.82,AR,1690147469
314,rabo de peixe,37.8,-25.5833,21.73,78,40,3.6,PT,1690147384
315,yarmolyntsi,49.1924,26.8373,13.92,67,9,2.63,UA,1690147469
316,vilyuchinsk,52.9306,158.4028,17.15,82,79,5.28,RU,1690147469
317,merizo village,13.2658,144.6691,28.32,88,100,5.44,GU,1690147469
318,barcelos,41.5388,-8.6151,19.95,97,53,1.15,PT,1690147428
319,orange beach,30.2944,-87.5736,31.32,68,75,4.63,US,1690147470
320,zyrya,40.3661,50.2917,26.05,71,6,5.13,AZ,1690147470
321,saposoa,-6.934,-76.7716,32.56,39,3,1.86,PE,1690147470
322,fasa,28.9383,53.6482,31.58,19,40,0.0,IR,1690147470
323,arraial do cabo,-22.9661,-42.0278,21.92,83,0,7.2,BR,1690147280
324,crane,31.3974,-102.3501,37.71,17,38,2.99,US,1690147470
325,pacific grove,36.6177,-121.9166,26.88,81,0,6.69,US,1690147470
326,soio,-6.1349,12.3689,21.96,91,27,3.99,AO,1690147470
327,madalena,41.2162,-8.3345,19.19,88,75,1.26,PT,1690147471
328,sao francisco de assis,-29.5503,-55.1311,22.56,72,90,1.35,BR,1690147471
329,chegutu,-18.1302,30.1407,14.6,33,0,2.04,ZW,1690147471
330,paola,39.3599,16.0396,33.62,46,0,1.46,IT,1690147471
331,goundam,16.4145,-3.6708,34.21,37,51,2.87,ML,1690147471
332,boyolangu,-8.1181,111.8935,21.4,95,73,0.93,ID,1690147471
333,vodnyy,63.5046,53.4095,12.75,96,17,2.89,RU,1690147471
334,warrenton,-28.114,24.8475,11.87,19,100,4.4,ZA,1690147469
335,novoderevyankovskaya,46.3231,38.7472,22.46,74,65,0.21,RU,1690147471
336,torghay,49.6339,63.4981,23.16,40,31,5.2,KZ,1690147471
337,bel ombre,-4.6167,55.4167,25.91,83,75,6.17,SC,1690147472
338,namsos,64.4662,11.4957,12.95,82,100,2.06,NO,1690147472
339,nyurba,63.2842,118.3319,17.97,71,19,2.18,RU,1690147472
340,nizhnesortymskiy,62.4397,71.7603,17.66,68,44,1.68,RU,1690147472
341,kayangel,8.0823,134.7173,28.57,75,100,6.82,PW,1690147472
342,touros,-5.1989,-35.4608,25.32,77,19,8.08,BR,1690147472
343,colonia,50.9333,6.95,19.98,86,40,3.09,DE,1690147451
344,harstad,68.799,16.5293,14.89,97,41,0.89,NO,1690147472
345,itabira,-19.6192,-43.2269,17.43,86,41,1.25,BR,1690147473
346,bafra,41.5678,35.9069,22.99,68,1,2.01,TR,1690147473
347,hadibu,12.65,54.0333,24.77,81,100,9.46,YE,1690147468
348,nur-sultan,51.1801,71.446,18.97,55,0,3.0,KZ,1690147473
349,sechura,-5.5569,-80.8222,27.31,57,4,7.25,PE,1690147473
350,lambarene,-0.7001,10.2406,23.67,81,70,2.43,GA,1690147473
351,west valley,46.5921,-120.6051,35.45,25,0,5.66,US,1690147473
352,pangkalanbuun,-2.6833,111.6167,22.68,98,11,1.05,ID,1690147473
353,tsiombe,-25.3,45.4833,18.55,84,0,1.93,MG,1690147446
354,bejaia,36.7559,5.0843,39.6,20,0,2.57,DZ,1690147474
355,pesqueira,-8.3578,-36.6964,18.95,78,10,4.37,BR,1690147258
356,sitka,57.0531,-135.33,13.94,94,100,3.09,US,1690147474
357,flin flon,54.7682,-101.865,22.91,38,75,2.06,CA,1690147474
358,molteno,-31.3968,26.3625,4.81,36,86,1.13,ZA,1690147474
359,poronaysk,49.2167,143.1167,18.86,84,100,0.79,RU,1690147474
360,queenstown,-31.8976,26.8753,6.04,83,67,1.95,ZA,1690147474
361,tchintabaraden,15.8969,5.7985,35.97,31,90,4.34,NE,1690147474
362,igarka,67.4667,86.5833,15.65,90,65,2.39,RU,1690147474
363,saint-paul,-21.0096,55.2707,21.11,90,25,1.64,RE,1690147475
